"BTK.Open" "BTK.High" "BTK.Low" "BTK.Close" "BTK.Volume" "BTK.Adjusted"
"2004-05-21" 497.369995 497.369995 497.369995 497.369995 0 497.369995
"2004-05-24" NA NA NA NA NA NA
"2004-05-25" NA NA NA NA NA NA
"2004-05-26" NA NA NA NA NA NA
"2004-05-27" 514.809998 514.809998 514.809998 514.809998 0 514.809998
"2004-05-28" 513.01001 513.01001 513.01001 513.01001 0 513.01001
"2004-06-01" 518.549988 518.549988 518.549988 518.549988 0 518.549988
"2004-06-02" 519.429993 519.429993 519.429993 519.429993 0 519.429993
"2004-06-03" 507.899994 507.899994 507.899994 507.899994 0 507.899994
"2004-06-04" NA NA NA NA NA NA
"2004-06-07" 512.130005 512.130005 512.130005 512.130005 0 512.130005
"2004-06-08" NA NA NA NA NA NA
"2004-06-09" 489.01001 489.01001 489.01001 489.01001 0 489.01001
"2004-06-10" NA NA NA NA NA NA
"2004-06-14" 487.769989 487.769989 487.769989 487.769989 0 487.769989
"2004-06-15" 494.329987 494.329987 494.329987 494.329987 0 494.329987
"2004-06-16" NA NA NA NA NA NA
"2004-06-17" 494.440002 494.440002 494.440002 494.440002 0 494.440002
"2004-06-18" NA NA NA NA NA NA
"2004-06-21" 492.23999 492.23999 492.23999 492.23999 0 492.23999
"2004-06-22" NA NA NA NA NA NA
"2004-06-23" NA NA NA NA NA NA
"2004-06-24" NA NA NA NA NA NA
"2004-06-25" NA NA NA NA NA NA
"2004-06-28" NA NA NA NA NA NA
"2004-06-29" NA NA NA NA NA NA
"2004-06-30" NA NA NA NA NA NA
"2004-07-01" 514.440002 514.440002 514.440002 514.440002 0 514.440002
"2004-07-02" 514.98999 514.98999 514.98999 514.98999 0 514.98999
"2004-07-06" 507.220001 507.220001 507.220001 507.220001 0 507.220001
"2004-07-07" 509.040009 509.040009 509.040009 509.040009 0 509.040009
"2004-07-08" NA NA NA NA NA NA
"2004-07-09" NA NA NA NA NA NA
"2004-07-12" NA NA NA NA NA NA
"2004-07-13" 492.859985 492.859985 492.859985 492.859985 0 492.859985
"2004-07-14" NA NA NA NA NA NA
"2004-07-15" 496.51001 496.51001 496.51001 496.51001 0 496.51001
"2004-07-16" NA NA NA NA NA NA
"2004-07-19" 481.040009 481.040009 481.040009 481.040009 0 481.040009
"2004-07-20" 490.059998 490.059998 490.059998 490.059998 0 490.059998
"2004-07-21" 461.070007 461.070007 461.070007 461.070007 0 461.070007
"2004-07-22" 471.959991 471.959991 471.959991 471.959991 0 471.959991
"2004-07-23" NA NA NA NA NA NA
"2004-07-26" 455.730011 455.730011 455.730011 455.730011 0 455.730011
"2004-07-27" NA NA NA NA NA NA
"2004-07-28" 474.059998 474.059998 474.059998 474.059998 0 474.059998
"2004-07-29" 478.630005 478.630005 478.630005 478.630005 0 478.630005
"2004-07-30" 482.320007 482.320007 482.320007 482.320007 0 482.320007
"2004-08-02" 473.23999 473.23999 473.23999 473.23999 0 473.23999
"2004-08-03" 467.670013 467.670013 467.670013 467.670013 0 467.670013
"2004-08-04" NA NA NA NA NA NA
"2004-08-05" NA NA NA NA NA NA
"2004-08-06" 449.429993 449.429993 449.429993 449.429993 0 449.429993
"2004-08-09" NA NA NA NA NA NA
"2004-08-10" 455.160004 455.160004 455.160004 455.160004 0 455.160004
"2004-08-11" 464.220001 464.220001 464.220001 464.220001 0 464.220001
"2004-08-12" 458.630005 458.630005 458.630005 458.630005 0 458.630005
"2004-08-13" NA NA NA NA NA NA
"2004-08-16" NA NA NA NA NA NA
"2004-08-17" NA NA NA NA NA NA
"2004-08-18" 486.839996 486.839996 486.839996 486.839996 0 486.839996
"2004-08-19" NA NA NA NA NA NA
"2004-08-20" 494.279999 494.279999 494.279999 494.279999 0 494.279999
"2004-08-23" 487.869995 487.869995 487.869995 487.869995 0 487.869995
"2004-08-24" NA NA NA NA NA NA
"2004-08-25" 501.109985 501.109985 501.109985 501.109985 0 501.109985
"2004-08-26" 498.040009 498.040009 498.040009 498.040009 0 498.040009
"2004-08-27" 506.48999 506.48999 506.48999 506.48999 0 506.48999
"2004-08-30" NA NA NA NA NA NA
