"SPY.Open" "SPY.High" "SPY.Low" "SPY.Close" "SPY.Volume" "SPY.Adjusted"
"2015-04-22" 210.009995 210.850006 208.899994 210.630005 78264600 194.496765
"2015-04-23" 210.149994 211.940002 210.009995 211.160004 102585900 194.986145
"2015-04-24" 211.660004 211.970001 211.110001 211.649994 61327400 195.438599
"2015-04-27" 212.330002 212.479996 210.539993 210.770004 79358100 194.626022
"2015-04-28" 210.740005 211.5 209.330002 211.440002 86863500 195.244736
"2015-04-29" 211.440002 211.440002 209.600006 210.570007 125684900 194.441315
"2015-04-30" 209.880005 210.350006 207.619995 208.460007 161304900 192.492935
"2015-05-01" 209.399994 210.770004 209.279999 210.720001 103399700 194.579849
"2015-05-04" 211.229996 212.020004 211.100006 211.320007 70927200 195.133881
"2015-05-05" 211.029999 211.460007 208.729996 208.899994 113326200 192.899231
"2015-05-06" 209.559998 209.929993 206.759995 208.039993 135060200 192.105087
"2015-05-07" 207.919998 209.380005 207.520004 208.869995 88244900 192.871552
"2015-05-08" 210.880005 211.860001 210.779999 211.619995 155877300 195.410919
"2015-05-11" 211.570007 211.889999 210.520004 210.610001 75708100 194.478302
"2015-05-12" 209.610001 210.630005 208.619995 209.979996 119727600 193.896515
"2015-05-13" 210.470001 211.220001 209.740005 210.020004 94667900 193.933487
"2015-05-14" 211.240005 212.320007 210.910004 212.210007 95934000 195.955719
"2015-05-15" 212.440002 212.610001 211.860001 212.440002 76510100 196.168091
"2015-05-18" 212.240005 213.399994 212.160004 213.100006 72785600 196.777573
"2015-05-19" 213.240005 213.570007 212.690002 213.029999 72114600 196.712906
"2015-05-20" 213.149994 213.779999 212.5 212.880005 76857500 196.574402
"2015-05-21" 212.710007 213.75 212.509995 213.5 64764600 197.146927
"2015-05-22" 213.039993 213.539993 212.910004 212.990005 57433500 196.67598
"2015-05-26" 212.399994 212.910004 210.199997 210.699997 124308600 194.561401
"2015-05-27" 211.25 212.979996 210.759995 212.699997 93214000 196.408203
"2015-05-28" 212.330002 212.589996 211.630005 212.460007 74974600 196.186539
"2015-05-29" 212.380005 212.429993 210.820007 211.139999 111964800 194.967712
"2015-06-01" 211.940002 212.339996 210.619995 211.570007 93338800 195.364731
"2015-06-02" 211.020004 212.190002 210.270004 211.360001 89527800 195.170853
"2015-06-03" 212 212.669998 211.330002 211.919998 87820900 195.687958
"2015-06-04" 211.070007 211.860001 209.75 210.130005 151882800 194.035034
"2015-06-05" 209.949997 210.580002 208.979996 209.770004 121704700 193.702621
"2015-06-08" 209.639999 209.820007 208.389999 208.419998 85339800 192.455994
"2015-06-09" 208.449997 209.100006 207.690002 208.449997 105034700 192.483749
"2015-06-10" 209.369995 211.410004 209.300003 210.960007 134551300 194.801468
"2015-06-11" 211.479996 212.089996 211.199997 211.649994 73876400 195.438599
"2015-06-12" 210.639999 211.479996 209.679993 209.929993 135382400 193.850388
"2015-06-15" 208.639999 209.449997 207.789993 209.100006 124384200 193.083969
"2015-06-16" 208.929993 210.350006 208.720001 210.25 85308200 194.145859
"2015-06-17" 210.589996 211.320007 209.360001 210.589996 126708600 194.459778
"2015-06-18" 211.309998 213.339996 210.630005 212.710007 165867900 196.417419
"2015-06-19" 211.460007 211.550003 210.360001 210.809998 130478700 195.610214
"2015-06-22" 211.910004 212.589996 211.639999 211.889999 70696000 196.612335
"2015-06-23" 212.139999 212.440002 211.570007 212.050003 68476800 196.760788
"2015-06-24" 211.720001 212.169998 210.470001 210.509995 92307300 195.331833
"2015-06-25" 211.100006 211.25 209.770004 209.830002 97107400 194.700867
"2015-06-26" 210.289993 210.580002 209.160004 209.899994 104174800 194.765823
"2015-06-29" 208.050003 209.830002 205.330002 205.470001 202621300 190.655243
"2015-06-30" 207.259995 207.320007 205.279999 205.889999 182925100 191.044968
"2015-07-01" 207.729996 208.029999 206.559998 207.570007 135979900 192.603836
"2015-07-02" 208.070007 208.270004 206.809998 207.320007 104373700 192.371857
"2015-07-06" 205.770004 207.649994 205.529999 206.669998 117975400 191.768707
"2015-07-07" 206.960007 208.169998 204.110001 208.009995 173820200 193.012085
"2015-07-08" 206.419998 206.759995 204.25 204.529999 164020100 189.783005
"2015-07-09" 207.039993 207.350006 204.770004 204.800003 144113100 190.033524
"2015-07-10" 207.289993 207.979996 204.949997 207.479996 129456900 192.520294
"2015-07-13" 208.990005 209.899994 208.940002 209.759995 106069400 194.63591
"2015-07-14" 209.720001 211.050003 209.649994 210.720001 81709600 195.526703
"2015-07-15" 210.729996 211.279999 210.039993 210.630005 97914100 195.443222
"2015-07-16" 211.869995 212.300003 211.580002 212.270004 106683300 196.964966
"2015-07-17" 212.289993 212.550003 211.800003 212.470001 89030000 197.150528
"2015-07-20" 212.75 213.179993 212.210007 212.619995 65523100 197.289703
"2015-07-21" 212.429993 212.740005 211.389999 211.759995 77965000 196.49173
"2015-07-22" 210.929993 211.770004 210.889999 211.289993 88667900 196.055603
"2015-07-23" 211.529999 211.649994 209.75 210.139999 90509100 194.988495
"2015-07-24" 210.300003 210.369995 207.600006 207.940002 117755000 192.947144
"2015-07-27" 208 208 206.259995 206.740005 132361100 191.833664
"2015-07-28" 207.789993 209.5 206.800003 209.309998 123544800 194.218353
"2015-07-29" 209.479996 211.039993 209.309998 210.770004 105791300 195.573105
"2015-07-30" 210.160004 211.020004 209.419998 210.820007 91304400 195.619522
"2015-07-31" 211.419998 211.449997 210.160004 210.449997 103266900 195.276169
"2015-08-03" 210.460007 210.529999 208.649994 209.729996 113965700 194.608093
"2015-08-04" 209.699997 210.25 208.800003 209.320007 81820800 194.2276
"2015-08-05" 210.449997 211.309998 209.729996 210.100006 85786800 194.951416
"2015-08-06" 210.289993 210.419998 207.649994 208.350006 116030800 193.327576
"2015-08-07" 208.160004 208.339996 206.869995 207.919998 117858000 192.928589
"2015-08-10" 209.279999 210.669998 209.279999 210.630005 80270700 195.443222
"2015-08-11" 208.970001 209.470001 207.759995 208.660004 117481700 193.615204
"2015-08-12" 207.110001 209.139999 205.360001 208.919998 172123700 193.856445
"2015-08-13" 208.729996 209.550003 208.009995 208.699997 89383300 193.652359
"2015-08-14" 208.429993 209.509995 208.259995 209.360001 69387000 194.264786
"2015-08-17" 208.710007 210.589996 208.160004 210.559998 79072600 195.378235
"2015-08-18" 210.259995 210.679993 209.699997 209.929993 71692700 194.793686
"2015-08-19" 209.089996 210.009995 207.350006 208.279999 172946000 193.262634
"2015-08-20" 206.509995 208.289993 203.899994 204.009995 194327900 189.300507
"2015-08-21" 201.729996 203.940002 197.520004 197.630005 346588500 183.380508
"2015-08-24" 197.630005 197.630005 182.399994 189.550003 507244300 175.883118
"2015-08-25" 195.429993 195.449997 186.919998 187.229996 369833100 173.730392
"2015-08-26" 192.080002 194.789993 188.369995 194.679993 339257000 180.643188
"2015-08-27" 197.020004 199.419998 195.210007 199.160004 274143900 184.800201
"2015-08-28" 198.5 199.839996 197.919998 199.240005 160414400 184.87442
"2015-08-31" 198.110001 199.130005 197.009995 197.539993 154471400 183.296997
"2015-09-01" 193.119995 194.770004 190.729996 191.770004 256000400 177.943024
"2015-09-02" 194.619995 195.460007 192.419998 195.410004 160269300 181.320587
